rho_1,theta_1,field_strength
4.8e+06,1.5708,7.12557
5.4e+06,1.5708,5.71054
6e+06,1.5708,4.63811
0,1.63363,56.9914
600000,1.63363,51.8436
1.2e+06,1.63363,39.943
1.8e+06,1.63363,28.7718
2.4e+06,1.63363,20.7803
3e+06,1.63363,15.3796
3.6e+06,1.63363,11.67
4.2e+06,1.63363,9.04598
4.8e+06,1.63363,7.13878
5.4e+06,1.63363,5.72063
6e+06,1.63363,4.64592
0,1.69646,56.9914
600000,1.69646,51.9294
1.2e+06,1.69646,40.0284
1.8e+06,1.69646,28.8347
2.4e+06,1.69646,20.8245
3e+06,1.69646,15.411
3.6e+06,1.69646,11.6927
4.2e+06,1.69646,9.06276
4.8e+06,1.69646,7.15141
5.4e+06,1.69646,5.7303
6e+06,1.69646,4.65342
0,1.75929,56.9914
600000,1.75929,52.011
1.2e+06,1.75929,40.1087
1.8e+06,1.75929,28.894
2.4e+06,1.75929,20.8662
3e+06,1.75929,15.4407
3.6e+06,1.75929,11.7142
4.2e+06,1.75929,9.07872
4.8e+06,1.75929,7.16344
5.4e+06,1.75929,5.73951
6e+06,1.75929,4.66057
0,1.82212,56.9914
600000,1.82212,52.0881
1.2e+06,1.82212,40.1841
1.8e+06,1.82212,28.9495
2.4e+06,1.82212,20.9055
3e+06,1.82212,15.4687
3.6e+06,1.82212,11.7346
4.2e+06,1.82212,9.09383
4.8e+06,1.82212,7.17486
5.4e+06,1.82212,5.74827
6e+06,1.82212,4.66739
0,1.88496,56.9914
600000,1.88496,52.1608
1.2e+06,1.88496,40.2546
1.8e+06,1.88496,29.0015
2.4e+06,1.88496,20.9423
3e+06,1.88496,15.495
3.6e+06,1.88496,11.7538
4.2e+06,1.88496,9.10809
4.8e+06,1.88496,7.18565
5.4e+06,1.88496,5.75656
6e+06,1.88496,4.67384
0,1.94779,56.9914
600000,1.94779,52.2291
1.2e+06,1.94779,40.3202
1.8e+06,1.94779,29.0499
2.4e+06,1.94779,20.9766
3e+06,1.94779,15.5196
3.6e+06,1.94779,11.7718
4.2e+06,1.94779,9.12149
4.8e+06,1.94779,7.1958
5.4e+06,1.94779,5.76437
6e+06,1.94779,4.67992
0,2.01062,56.9914
600000,2.01062,52.2929
1.2e+06,2.01062,40.3812
1.8e+06,2.01062,29.0949
2.4e+06,2.01062,21.0086
3e+06,2.01062,15.5425
